IP-calls,nodes explored,filename,strategy_subproblem_selection,strategy_node_priority,strategy_reduction,strategy_update_node_priority,strategy_refine_with_integer_gap,strategy_search_method,strategy_refine_method,time_total,subproblem_points,reduced_generator_points,subproblem_points_generated,mgs_points,Yn_points,hYn_points,subproblem_points_vector,subproblem_points_generated_vector,mgs_points_vector,generator_points_vector,time_IP-calls,count_IP-calls,time_nodes explored,count_nodes explored,time_subproblem_points_vector,count_subproblem_points_vector,time_subproblem_points_generated_vector,count_subproblem_points_generated_vector,time_mgs_points_vector,count_mgs_points_vector,time_ASMO.solve,count_ASMO.solve,time_ASMO._set_global_upper_bound,count_ASMO._set_global_upper_bound,time_ASMO._update_global_upper_bound,count_ASMO._update_global_upper_bound,time_ASMO._set_incumbent,count_ASMO._set_incumbent,time_CVRP._update_bounds_from_node,count_CVRP._update_bounds_from_node,time_ASMO._reduce_upper_bounds,count_ASMO._reduce_upper_bounds,timeout
297,147,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,first,all,False,bbm,slow,1.3253395420033485,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.291,6,0,2,0.29,6,0.4,288,0.129,290,False
297,147,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,none,all,False,bbm,slow,1.2560372500447556,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.132,4,0,2,0.132,4,0.445,288,0.0,290,False
297,147,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,100,all,False,bbm,slow,26.53193649998866,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.421,8,0,2,0.416,8,1.417,288,49.21,290,False
297,147,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,50,all,False,bbm,slow,27.997555707930587,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.612,10,0,2,0.604,10,1.378,288,52.007,290,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,first,all,False,phase1,slow,0.911083959043026,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.144,6,0,2,0.143,6,0.163,150,0.075,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,none,all,False,phase1,slow,0.8774212918942794,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.081,4,0,2,0.081,4,0.159,150,0.0,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,100,all,False,phase1,slow,0.9020510000409558,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.168,6,0,2,0.168,6,0.164,150,0.089,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_5.json,sequential,largest,50,all,False,phase1,slow,17.66411841707304,150,150,150,150,386,386,50|50|50,50|50|50,50|50|50,50|50|50,,,,,,,,,,,0,2,0.283,8,0,2,0.278,8,0.81,150,32.324,152,False
301,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,first,all,False,bbm,slow,1.2496345830149949,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.236,6,0,2,0.235,6,0.408,292,0.106,294,False
301,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,none,all,False,bbm,slow,1.1774519579485059,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.114,4,0,2,0.113,4,0.443,292,0.0,294,False
301,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,100,all,False,bbm,slow,34.53618012496736,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.303,8,0,2,0.297,8,1.855,292,64.919,294,False
301,149,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,50,all,False,bbm,slow,36.633238708018325,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.502,10,0,2,0.493,10,2.002,292,68.797,294,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,first,all,False,phase1,slow,1.005396250053309,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.198,6,0,2,0.197,6,0.165,150,0.106,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,none,all,False,phase1,slow,1.0121348329121247,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.13,4,0,2,0.129,4,0.17,150,0.0,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,100,all,False,phase1,slow,1.125043125008233,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.276,6,0,2,0.275,6,0.244,150,0.152,152,False
228,78,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-uuu-3_4.json,sequential,largest,50,all,False,phase1,slow,21.57738504197914,150,119,150,119,536,536,50|50|50,50|50|50,40|29|50,40|29|50,,,,,,,,,,,0,2,0.763,8,0,2,0.756,8,1.046,150,39.587,152,False
395,112,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,first,all,False,bbm,slow,9.182370375026949,150,105,126,105,961,961,50|50|50,26|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.297,6,0,2,0.281,6,0.456,218,15.656,220,False
463,146,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,none,all,False,bbm,slow,1.337105541024357,150,105,150,105,961,961,50|50|50,50|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.175,4,0,2,0.168,4,0.457,286,0.0,288,False
395,112,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,100,all,False,bbm,slow,182.9136905000778,150,105,126,105,961,961,50|50|50,26|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.496,8,0,2,0.467,8,1.593,218,361.405,220,False
395,112,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,50,all,False,bbm,slow,230.24640474992339,150,105,126,105,961,961,50|50|50,26|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.973,10,0,2,0.93,10,1.623,218,456.045,220,False
298,100,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,first,all,False,phase1,slow,9.358501125010662,150,105,120,105,961,961,50|50|50,20|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.5,6,0,2,0.485,6,0.401,194,15.783,196,False
344,116,./instances/msp/2obj/Lyngesen24-msp-2-50|50|50-ull-3_4.json,sequential,largest,none,all,False,phase1,slow,1.413324541063048,150,105,150,105,961,961,50|50|50,50|50|50,5|50|50,5|50|50,,,,,,,,,,,0,2,0.258,4,0,2,0.25,4,0.347,226,0.0,228,False
